sha256,pkgName,TypeObfuscation,isObfuscated_Niroshan,isObfuscated_Manual
B114CE6C1DDE3415A698B1BB14548320902EF755DD9B7D136F1EE2299F612A83,com.lemonsystems.foodbrother,"Reflection,Reflection.getOrCreateKotlinClass(...) e Koin sono usati per dependency injection, non come obfuscation di per sé ",FALSE,TRUE
B7B33EB805CB8905F94AAE1EB4919B372A7E5F4752D7B8A384844F1A11D1D9B5,com.nobexinc.wls_8279362756.rc,"ClassRename,MethodRename,FieldRename,Reflection",TRUE,TRUE
BCF0DD318391E4AAC0D257096339132F297A8F6BAC345672CC54F566A5173196,com.golden.sweetmemories.songsmp3,NONE,TRUE,FALSE
BECA88A06B2CC09FA25B63055675D03DF56B55EC94B76561C9FB1ECD3D5E1D58,com.clarkstudio.screw.an.ns,NONE,TRUE,FALSE
C3454FC232A0D1578814713B72A0DAD693FA1E26534018DF6C413E2704DD18BA,com.prestomusic.app,NONE,FALSE,FALSE
C376D62007F03D7289D222C79B716576ED9372AC8505CADF7E3B09A0CE7E6EC3,state.countryballs.dictators.io,NONE,TRUE,FALSE
C5E9835C1D5A6DF478F94F9647870BC95BEC2DFFEC6462F1F900C57482E5CFA6,com.radiopetti.sktelevision,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
CB89489BF6234C300F6BB965146A575CE27F51259CE5BFD7B20A166ECF72709D,com.yuranga.ft.driver.application,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
D1B0BD3A46EF1A3F017BB7B028A6EF8D215FAD57EEF81B6B915BFCFDFC5D0816,com.hiddenlake.casino,NONE,FALSE,FALSE
D29F856A2B32FF1590C76DD90A3C337CDA49E49F54F2BD9F92EDF1C45E39EEF8,com.tibetanapp,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
D333BCE2E4174655269D78887042BFACFF4564F0EFB54B1309D2C841FCD2C2A4,br.gov.sp.cptm.mobile,NONE,FALSE,FALSE
D3D27AC6FF2C3A83FF38BB11ED6CABEB41567E2F0B9FABE0268B7DCB539E0F87,com.outerminds.tubular,NONE,TRUE,FALSE
D489E1A83DDEEE36B9C7368AF0FEB44A66FAC10B499D90311E2B537D19DCDC90,com.intsig.camscanner,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
D4D00E9F00591DD5147D2ED368DCCD5F24C501A3B1158D4B2A13FF881EF5EAD2,com.prenly.byggteknik,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
D579DE536FBC4A3706B37D72108AC39B26AE108D75899DFEAA70E05008440DF1,com.arcade.mine,si ma light,TRUE,TRUE
D7EB5178864EDBB0BFC2B989CF13DB591449D56BC0142CCC7D970F7603A6310A,ua.com.presentsimple.viewer,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
D8E2656FC2B8FCCE6C384CAAAEE8C2BFD9580F0D0B8BE9D61BD9FF89A54C66AB,com.ups.mobile.android,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
DA6DA3D77B5C10E9B9170372FB1996B9B9DB469A8CCFE6EE7872E9FCA4B4545E,com.fearlesstradershivam.ftsApp,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
DCC50E433F01085B9A9456C1FAD9779C0C6F4A2C4B50F30F68B44EE5462D3B6C,omnys.com.cell.data,NONE,FALSE,FALSE
DDE83397697C5E9BF7F8282CC3E658E264B1258E7BDA3B697A8C0EBBFF46B155,br.mobilibus.mobcampolargo,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
EC69CCFCA57F3F6ED0D87DAF617CAA073A0B112DA2E9DB51BF0F0EDE384CC4C2,com.wincan.mobile,NONE,FALSE,FALSE
F2C9AC33A85FAB8C1FA624929DEFAB54DA29E217D4E568B09F964E6F8A57103C,pt.albatrozdigital.jfquintadoanjo,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
F41F52B45B19EA5EFB118D80DB50077C8841A5B25FD84DA49B3432382B5BC09D,net.thoster.handwrite,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
F5339B5F9A686AD7EBD78DA7A5AA1EE40DD2BBA30684E3FB318561DE08163617,com.alchemist.nightwatchman,"ClassRename,MethodRename,FieldRename",TRUE,TRUE
F8BABD67A2F604E87650A45B8D6DFE73FFC977A3C38708173078D8DE1DF809B1,com.viroroi.SafariHuntingPatrol3D,NONE,TRUE,FALSE
F8F84F113B468FEC11D417DC4138F2C9E24C1A609BE773836EEA354D83407E3F,com.etai.thalamus,NONE,FALSE,FALSE
F97A21EBEA5A6D8A65BCB8A974EF02662302A884684A54B751F2A168A18B04DA,com.wildtribescreenprints,"ClassRename,MethodRename,FieldRename,CallIndirection",TRUE,TRUE
FA502F8D3E55776449E7B65069F962E5B6E463F1EDDF31496E32112090124F52,com.siine.app,"ClassRename,MethodRename,FieldRename",FALSE,TRUE
FE575AE254D6F6245B76954D707B4E0F94D6320F03EEAFFCAD68BF2008FC5369,jp.digimerce.cranejp1,NONE,TRUE,FALSE
